name,url,description,found_by
liam-hq/liam,https://github.com/liam-hq/liam,Automatically generates beautiful and easy-to-read ER diagrams from your database.,Cline_config: filename:.clineignore
algmironov/CodeLines,https://github.com/algmironov/CodeLines,CLI tool for calculating real lines of code count,Cline_config: filename:.clineignore
shinyoshiaki/werift-webrtc,https://github.com/shinyoshiaki/werift-webrtc,"WebRTC Implementation for TypeScript (Node.js), includes ICE/DTLS/SCTP/RTP/SRTP/WEBM/MP4",Cline_config: filename:.clineignore
chatwork/chatwork-mcp-server,https://github.com/chatwork/chatwork-mcp-server,ChatworkをAIから操作するためのMCP(Model Context Protocol)サーバー,Cline_config: filename:.clineignore
jarrah31/Google-StreetView-Publish-WebGUI,https://github.com/jarrah31/Google-StreetView-Publish-WebGUI,Publish 360 Photos to Google Streetview,Cline_config: filename:.clineignore
teitei-tk/teitei-tk.com,https://github.com/teitei-tk/teitei-tk.com,Next.js based My Portfolio Site.,Cline_config: filename:.clineignore
skazo4nick/tsi-sota-ai,https://github.com/skazo4nick/tsi-sota-ai,This repository contains code and resources related to the research project on the integration of Large Language Models (LLMs) and AI-powered agent networks in Supply Chain Management (SCM).,Cline_config: filename:.clineignore
nyago-d/RecursiveSummarize,https://github.com/nyago-d/RecursiveSummarize,,Cline_config: filename:.clineignore
spideynolove/artificial-intelligence-by-example,https://github.com/spideynolove/artificial-intelligence-by-example,"Master AI, machine learning, and deep learning through practical examples. Develop advanced design skills with hands-on projects and expert guidance.",Cline_config: filename:.clineignore
cou723/today-google-calendar,https://github.com/cou723/today-google-calendar,,Cline_config: filename:.clineignore
TheRealMkadmi/laravel-citadel,https://github.com/TheRealMkadmi/laravel-citadel,,Cline_config: filename:.clineignore
puyopop/puyo-simulator,https://github.com/puyopop/puyo-simulator,,Cline_config: filename:.clineignore
phalanx-hk/kaggle_template,https://github.com/phalanx-hk/kaggle_template,,Cline_config: filename:.clineignore
RyukyuInteractive/sandbox,https://github.com/RyukyuInteractive/sandbox,Webサイトのコードを生成する,Cline_config: filename:.clineignore
trfv/shisetsu-viewer,https://github.com/trfv/shisetsu-viewer,,Cline_config: filename:.clineignore
RSQ230798/rsq_utils,https://github.com/RSQ230798/rsq_utils,General utility functions,Cline_config: filename:.clineignore
ocknamo/nostr-cache,https://github.com/ocknamo/nostr-cache,This is a Nostr relay implementation using JavaScript and browser functionality. It works as a cache when used in a browser.,Cline_config: filename:.clineignore
yeshan333/webpage-summary-agent,https://github.com/yeshan333/webpage-summary-agent,Webpage Summary Agent with mcp-agent 、MCP servers and qwen.,Cline_config: filename:.clineignore
RSQ230798/rsq_aws,https://github.com/RSQ230798/rsq_aws,Library for aws functions,Cline_config: filename:.clineignore
kimsungtaek1/lex,https://github.com/kimsungtaek1/lex,,Cline_config: filename:.clineignore
alaireselene/bke-club-next,https://github.com/alaireselene/bke-club-next,,Cline_config: filename:.clineignore
ssig33/inbou,https://github.com/ssig33/inbou,,Cline_config: filename:.clineignore
Foundasion/streamlit-chatbot,https://github.com/Foundasion/streamlit-chatbot,"Your AI command center: Seamlessly connects with your digital world, automates tasks, and manages your workflow with Claude and MCP agents.",Cline_config: filename:.clineignore
wingsuitist/20250322-agentic-engineering-tokyo-talk,https://github.com/wingsuitist/20250322-agentic-engineering-tokyo-talk,Agentic Engineering Talk in Tokyo,Cline_config: filename:.clineignore
phanatuan/sat_dashboard_gatsby,https://github.com/phanatuan/sat_dashboard_gatsby,,Cline_config: filename:.clineignore
dwarvesf/github-agent,https://github.com/dwarvesf/github-agent,"Agentic GitHub workflows with reminders, PR monitoring, and progress tracking. Includes a Discord bot for notifications. 🚀",Cline_config: filename:.clineignore
RyukyuInteractive/open-stack,https://github.com/RyukyuInteractive/open-stack,試作品のAIファーストの開発環境です。,Cline_config: filename:.clineignore
iamneilroberts/ambient-pi,https://github.com/iamneilroberts/ambient-pi,"Ambient information display for orangepi 800 with focus on weather, transport, and space",Cline_config: filename:.clineignore
sharplygroup/xtb-api-js,https://github.com/sharplygroup/xtb-api-js,,Cline_config: filename:.clineignore
krajcik/video-transcriber,https://github.com/krajcik/video-transcriber,,Cline_config: filename:.clineignore
negi524/react-router-starter,https://github.com/negi524/react-router-starter,ReactRouterのテンプレ,Cline_config: filename:.clineignore
sammydick22/mercor_SWE_fullstack,https://github.com/sammydick22/mercor_SWE_fullstack,,Cline_config: filename:.clineignore
xilu0/uml,https://github.com/xilu0/uml,,Cline_config: filename:.clineignore
yuanyuanyuan/github-copilot-prompts,https://github.com/yuanyuanyuan/github-copilot-prompts,,Cline_config: filename:.clineignore
wiz-develop/php-monad,https://github.com/wiz-develop/php-monad,📦 Implemented the concept of monads in functional programming in PHP.,Cline_config: filename:.clineignore
magne/albatross,https://github.com/magne/albatross,,Cline_config: filename:.clineignore
NightTrek/Serper-search-mcp,https://github.com/NightTrek/Serper-search-mcp,Un-official Serper Google search server for Cline and other MCP clients,Cline_config: filename:.clineignore
centminmod/atari-missile-command,https://github.com/centminmod/atari-missile-command,Atari Missile Command Game remake,Cline_config: filename:.clineignore
kyouyap/account_me,https://github.com/kyouyap/account_me,,Cline_config: filename:.clineignore
The-Developer-Bros/consultxlabs_web,https://github.com/The-Developer-Bros/consultxlabs_web," ConsultX is a consulting platform that offers a wide range of services designed to help people and businesses optimize their operations, enhance their performance, and achieve their strategic goals. Our team of seasoned consultants brings deep industry expertise across various domains, including management consulting, IT consulting, finance",Cline_config: filename:.clineignore
Keiji-Miyake/ai-toolbox,https://github.com/Keiji-Miyake/ai-toolbox,AI支援コード生成ツールのルールや設定を管理するプロジェクト,Cline_config: filename:.clineignore
MakotoUwaya/nijiviewer,https://github.com/MakotoUwaya/nijiviewer,Next.js sample app docs → https://docs.mukwty.com/,Cline_config: filename:.clineignore
ssig33/fuckbase,https://github.com/ssig33/fuckbase,,Cline_config: filename:.clineignore
ekbarber/luxepaws-map,https://github.com/ekbarber/luxepaws-map,,Cline_config: filename:.clineignore
to4iki/ai-project-rules,https://github.com/to4iki/ai-project-rules,,Cline_config: filename:.clineignore
negibokken/dotfiles,https://github.com/negibokken/dotfiles,,Cline_config: filename:.clineignore
eitan567/immersive-planner-client,https://github.com/eitan567/immersive-planner-client,,Cline_config: filename:.clineignore
morooka-akira/ai-rules-bank,https://github.com/morooka-akira/ai-rules-bank,,Cline_config: filename:.clineignore
P0ed/5Y-Mission,https://github.com/P0ed/5Y-Mission,4U modular synthesizer,Cline_config: filename:.clineignore
umutcanoner/T.E.N.G.R.I.,https://github.com/umutcanoner/T.E.N.G.R.I.,Transparent Equitable Next‐Generation Governance Reform Initiative,Cline_config: filename:.clineignore
DeFiFoFum/voting-escrow-epoch-explorer,https://github.com/DeFiFoFum/voting-escrow-epoch-explorer,,Cline_config: filename:.clineignore
lightrao/cline_test,https://github.com/lightrao/cline_test,,Cline_config: filename:.clineignore
daikiojm/mastra-playground,https://github.com/daikiojm/mastra-playground,,Cline_config: filename:.clineignore
SwapLabsInc/satflow-mm,https://github.com/SwapLabsInc/satflow-mm,,Cline_config: filename:.clineignore
nichiki/python-boilerplate,https://github.com/nichiki/python-boilerplate,,Cline_config: filename:.clineignore
nichiki/markitdown-rag-sample,https://github.com/nichiki/markitdown-rag-sample,,Cline_config: filename:.clineignore
nichiki/human-like-ai,https://github.com/nichiki/human-like-ai,,Cline_config: filename:.clineignore
aratama/emoji-frog,https://github.com/aratama/emoji-frog,An easy emoji editor powered by generative AI,Cline_config: filename:.clineignore
sasakiy84/harukaze,https://github.com/sasakiy84/harukaze,,Cline_config: filename:.clineignore
anhdo9797/llm_chat,https://github.com/anhdo9797/llm_chat,,Cline_config: filename:.clineignore
hcmcoujs/tools-support-jos,https://github.com/hcmcoujs/tools-support-jos,,Cline_config: filename:.clineignore
eitan567/immersive-planner-server,https://github.com/eitan567/immersive-planner-server,,Cline_config: filename:.clineignore
pdfme/pdfme,https://github.com/pdfme/pdfme,"Open-source PDF generation library built with TypeScript and React. Features a WYSIWYG template designer, PDF viewer, and powerful generation capabilities. Create custom PDFs effortlessly in both browser and Node.js environments.",Cline_config: filename:.clinerules
yysun/apprun,https://github.com/yysun/apprun,"AppRun is a JavaScript library for developing high-performance and reliable web applications using the elm inspired architecture, events and components.",Cline_config: filename:.clinerules
cscenter/lms,https://github.com/cscenter/lms,https://compscicenter.ru,Cline_config: filename:.clinerules
explicitcontextualunderstanding/vscodecontext,https://github.com/explicitcontextualunderstanding/vscodecontext,A Model Context Protocol server to provide configurable context from VSCode Context APIs to the model,Cline_config: filename:.clinerules
TrueCrimeAudit/ClautoHotkey,https://github.com/TrueCrimeAudit/ClautoHotkey,This repo has the docs needed to create a useful Autohotkey v2 project in Claude. ,Cline_config: filename:.clinerules
Michaelzag/RooArmy,https://github.com/Michaelzag/RooArmy,,Cline_config: filename:.clinerules
fxcl/.dotfiles,https://github.com/fxcl/.dotfiles,,Cline_config: filename:.clinerules
Pawel-Mackiewicz/BankApp,https://github.com/Pawel-Mackiewicz/BankApp,JAVA BankApp for portfolio,Cline_config: filename:.clinerules
