name,url,description,found_by
github/CopilotForXcode,https://github.com/github/CopilotForXcode,Xcode extension for GitHub Copilot,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
ProtonMail/WebClients,https://github.com/ProtonMail/WebClients,Monorepo hosting the proton web clients,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
etozhealkhipce/editorjs-aitext,https://github.com/etozhealkhipce/editorjs-aitext,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
meetings/front-angular,https://github.com/meetings/front-angular,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
standardgalactic/quadrivium,https://github.com/standardgalactic/quadrivium,Enteric Reservoir of Knowledge,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
Charlotte-Kosche-Thesis/patreon-scraper,https://github.com/Charlotte-Kosche-Thesis/patreon-scraper,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
viktoricalonia/dotfiles,https://github.com/viktoricalonia/dotfiles,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
christopheredrian/research-division,https://github.com/christopheredrian/research-division,"A web based application for dissemination, monitoring and evaluation of local legislations for Baguio City.","code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
nosnowowie93347/Ice-Bot-v14,https://github.com/nosnowowie93347/Ice-Bot-v14,Updated version of https://github.com/nosnowowie93347/Ice-Bot/tree/main,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
astral-fate/PenceAI,https://github.com/astral-fate/PenceAI,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
badrEladraoui1/Artisa_frontend,https://github.com/badrEladraoui1/Artisa_frontend,,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
BEASTBOYMAYURA/Pogy,https://github.com/BEASTBOYMAYURA/Pogy,Hi Guys Today i have got a new src which is of pogy but it is in djs v13 so i hope you will enjoy,"code_search: ""Cline suggestion"" (indexed desc), code_search: ""Cline suggestion"" (indexed asc)"
