name,url,description,found_by
liam-hq/liam,https://github.com/liam-hq/liam,Automatically generates beautiful and easy-to-read ER diagrams from your database.,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
algmironov/CodeLines,https://github.com/algmironov/CodeLines,CLI tool for calculating real lines of code count,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
shinyoshiaki/werift-webrtc,https://github.com/shinyoshiaki/werift-webrtc,"WebRTC Implementation for TypeScript (Node.js), includes ICE/DTLS/SCTP/RTP/SRTP/WEBM/MP4","code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
chatwork/chatwork-mcp-server,https://github.com/chatwork/chatwork-mcp-server,ChatworkをAIから操作するためのMCP(Model Context Protocol)サーバー,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
jarrah31/Google-StreetView-Publish-WebGUI,https://github.com/jarrah31/Google-StreetView-Publish-WebGUI,Publish 360 Photos to Google Streetview,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
trfv/shisetsu-viewer,https://github.com/trfv/shisetsu-viewer,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
ocknamo/nostr-cache,https://github.com/ocknamo/nostr-cache,This is a Nostr relay implementation using JavaScript and browser functionality. It works as a cache when used in a browser.,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
iamneilroberts/ambient-pi,https://github.com/iamneilroberts/ambient-pi,"Ambient information display for orangepi 800 with focus on weather, transport, and space","code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
sharplygroup/xtb-api-js,https://github.com/sharplygroup/xtb-api-js,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
sammydick22/mercor_SWE_fullstack,https://github.com/sammydick22/mercor_SWE_fullstack,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
ekbarber/luxepaws-map,https://github.com/ekbarber/luxepaws-map,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
The-Developer-Bros/consultxlabs_web,https://github.com/The-Developer-Bros/consultxlabs_web," ConsultX is a consulting platform that offers a wide range of services designed to help people and businesses optimize their operations, enhance their performance, and achieve their strategic goals. Our team of seasoned consultants brings deep industry expertise across various domains, including management consulting, IT consulting, finance","code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
phanatuan/sat_dashboard_gatsby,https://github.com/phanatuan/sat_dashboard_gatsby,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
wingsuitist/20250322-agentic-engineering-tokyo-talk,https://github.com/wingsuitist/20250322-agentic-engineering-tokyo-talk,Agentic Engineering Talk in Tokyo,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
NightTrek/Serper-search-mcp,https://github.com/NightTrek/Serper-search-mcp,Un-official Serper Google search server for Cline and other MCP clients,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
phalanx-hk/kaggle_template,https://github.com/phalanx-hk/kaggle_template,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
yuanyuanyuan/github-copilot-prompts,https://github.com/yuanyuanyuan/github-copilot-prompts,,"code_search: filename:.clineignore (indexed desc), code_search: filename:.clineignore (indexed asc)"
