name,url,description,found_by
RooVetGit/Roo-Code,https://github.com/RooVetGit/Roo-Code,,"issue_search: ""AI coding with Cline"" (2024-07-01 to 2024-12-31), issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
cline/mcp-marketplace,https://github.com/cline/mcp-marketplace,,"issue_search: ""AI coding with Cline"" (2025-01-01 to 2025-06-30)"
xueyuanl/daily-hackernews,https://github.com/xueyuanl/daily-hackernews,,"issue_search: ""AI coding with Cline"" (2025-01-01 to 2025-06-30)"
Foxhunt/daily-hackernews,https://github.com/Foxhunt/daily-hackernews,,"issue_search: ""AI coding with Cline"" (2025-01-01 to 2025-06-30)"
liam-hq/liam,https://github.com/liam-hq/liam,,"issue_search: ""AI coding with Cline"" (2025-01-01 to 2025-06-30)"
supercollider/supercollider,https://github.com/supercollider/supercollider,,"issue_search: ""Cline suggestion"" (2024-01-01 to 2024-06-30)"
yamadashy/repomix,https://github.com/yamadashy/repomix,,"issue_search: ""Cline suggestion"" (2024-07-01 to 2024-12-31)"
onysakura/news-daily,https://github.com/onysakura/news-daily,,"issue_search: ""Cline suggestion"" (2024-07-01 to 2024-12-31)"
Aider-AI/aider,https://github.com/Aider-AI/aider,,"issue_search: ""Cline suggestion"" (2024-07-01 to 2024-12-31)"
its-dart/dart-mcp-server,https://github.com/its-dart/dart-mcp-server,,"issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
hanlulong/stata-mcp,https://github.com/hanlulong/stata-mcp,,"issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
getfundwave/fw-components,https://github.com/getfundwave/fw-components,,"issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
atman-33/atman-hub,https://github.com/atman-33/atman-hub,,"issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
drivly/ai,https://github.com/drivly/ai,,"issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30)"
gitpod-io/leeway,https://github.com/gitpod-io/leeway,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30)"
voideditor/void,https://github.com/voideditor/void,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30)"
mocobeta/janome,https://github.com/mocobeta/janome,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30)"
kazupon/gunshi,https://github.com/kazupon/gunshi,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30)"
evmts/tevm-monorepo,https://github.com/evmts/tevm-monorepo,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30)"
cline/cline,https://github.com/cline/cline,,"issue_search: ""generated by Cline"" (2025-01-01 to 2025-06-30), issue_search: ""powered by Cline"" (2025-01-01 to 2025-06-30), issue_search: ""Cline suggestion"" (2024-07-01 to 2024-12-31), issue_search: ""Cline suggestion"" (2025-01-01 to 2025-06-30), issue_search: ""refactored with Cline"" (2025-01-01 to 2025-06-30)"
trypear/pear-landing-page,https://github.com/trypear/pear-landing-page,,"issue_search: ""powered by Cline"" (2025-01-01 to 2025-06-30)"
trypear/pearai-submodule,https://github.com/trypear/pearai-submodule,,"issue_search: ""powered by Cline"" (2025-01-01 to 2025-06-30)"
