name,url,description,found_by
Just-Understanding-Data-Ltd/ai-coding-with-cursor,https://github.com/Just-Understanding-Data-Ltd/ai-coding-with-cursor,A Github repository for the AI Coding with Cursor Course,"code_search: ""AI coding with Cursor"" (indexed desc), code_search: ""AI coding with Cursor"" (indexed asc)"
wanghaisheng/daily-cursor-rules,https://github.com/wanghaisheng/daily-cursor-rules,"collection best practise from web ,twitter for ai lovers","code_search: ""AI coding with Cursor"" (indexed desc), code_search: ""AI coding with Cursor"" (indexed asc)"
LMODroid/platform_packages_apps_QuickSearchBox,https://github.com/LMODroid/platform_packages_apps_QuickSearchBox,,"code_search: ""Cursor suggestion"" (indexed asc)"
FrequenciDigital/QuranExplore,https://github.com/FrequenciDigital/QuranExplore,,"code_search: ""Cursor suggestion"" (indexed asc)"
GISCODE/arcgis-runtime-samples-android,https://github.com/GISCODE/arcgis-runtime-samples-android,,"code_search: ""Cursor suggestion"" (indexed asc)"
cepmuvakkit/Quran-Kareem-Uthmani,https://github.com/cepmuvakkit/Quran-Kareem-Uthmani,"Quran Kareem Uthmani Quran i Kareem Uthmani provides the following features: Supportted Caligraphies with tashkeel ☀ Haafidh Osman Caligraphy ☀ Hamid Aytaç Caligraphy ☀ Computerized Caligraphy (1 ve 2) Ayfa publishing company ☀ Ahmet Husrev Caligraphy Hayrat publishing company(mukabele.com) Source code taken from (http://github.com/ahmedre/quran_android) open source project and quran images are from the www.mukabele.com site ★ Updated Index ★ Gapless audio playback ★ Ayah bookmarking ★ Ayah share ★ Ibn Katheer and Saady Tafsir ★ Audio recitations are available for streaming and downloading with highlighting support (tap the screen for to get the audio toolbar). - search - beta: night mode - beta: audio repeat - crystal clear Madani compliant images. - translations in many different languages (currently, Arabic Tafseer, English Sahih International Translation, French, German, Indonesian, Malay, Spanish, Turkish, Transliteration, Bosnian, Russian, Bengali, Kurdish, Somali, Dutch, Swahili, Malayalam, Azerbaijani, Tamil, and Urdu) with more coming soon. *Please Note* - we need phone state permissions so we can stop the audio playback when a phone call comes in (otherwise, it would continue playing). also, we need internet to download data due to the limitation on non-sdcard memory on most android phones. Recitations available: Abd El Basit - Abdul Basit Mujawwad - Abdullah Basfar - Abdurrahmaan As-Sudais - Abu Bakr Ash-Shaatree - Alafasy - Ghamadi - Hani Rifai - Husary - Husary Mujawwad - Hudhaify - Maher Al Muaiqly - Minshawy - Minshawy Mujawwad - Mohammad al Tablaway - Muhammad Ayyoub - Muhammad Jibreel - Saood Ash-Shuraym - Ibrahim Walk (English) Bilgi","code_search: ""Cursor suggestion"" (indexed asc)"
AnasAbughazal/Quran-Android,https://github.com/AnasAbughazal/Quran-Android,Quran-Android,"code_search: ""Cursor suggestion"" (indexed asc)"
WebDevStudios/wp-search-with-algolia,https://github.com/WebDevStudios/wp-search-with-algolia,"Improve search on your site. Autocomplete is included, along with full control over look, feel and relevance.","code_search: ""Cursor suggestion"" (indexed asc)"
LOSP/packages_apps_Contacts,https://github.com/LOSP/packages_apps_Contacts,Contacts app,"code_search: ""Cursor suggestion"" (indexed asc)"
eclipse-hawkbit/hawkbit,https://github.com/eclipse-hawkbit/hawkbit,Eclipse hawkBit™,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
vespa-engine/vespa,https://github.com/vespa-engine/vespa,"AI + Data, online. https://vespa.ai","code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
paduc82/paduc82.github.io,https://github.com/paduc82/paduc82.github.io,,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
iamlongalong/vscode-auto-cursor-accept,https://github.com/iamlongalong/vscode-auto-cursor-accept,"🚀 Supercharge your Cursor IDE experience! This extension automatically accepts AI suggestions, making your coding flow seamless and efficient. Perfect for developers who trust Cursor's AI and want to speed up their coding process.  A VS Code extension that automatically accepts and runs Cursor AI suggestions to improve your coding efficiency.","code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
stankovski/quran-phone,https://github.com/stankovski/quran-phone,Quran Phone,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
antenore/ARIA,https://github.com/antenore/ARIA,Artificial Intelligence Regulation Interface & Agreements,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
banter-chat/banter-ios,https://github.com/banter-chat/banter-ios,,"code_search: ""Cursor suggestion"" (indexed desc), code_search: ""Cursor suggestion"" (indexed asc)"
