name,url,description,found_by
merliot/hub,https://github.com/merliot/hub,Merliot Private Device Hub,"commit_search: ""Cursor suggestion"""
DonaldSimpson/github_updater,https://github.com/DonaldSimpson/github_updater,Python process to update github periodically,"commit_search: ""Cursor suggestion"""
zaeema-n/LDFArchitecture,https://github.com/zaeema-n/LDFArchitecture,,"commit_search: ""Cursor suggestion"""
yvetter438/ExpManager,https://github.com/yvetter438/ExpManager,,"commit_search: ""Cursor suggestion"""
beeniara/goal-linker,https://github.com/beeniara/goal-linker,,"commit_search: ""Cursor suggestion"""
blacksnowmartin/AstroGuide,https://github.com/blacksnowmartin/AstroGuide,,"commit_search: ""Cursor suggestion"""
jstormes/nest-mfg,https://github.com/jstormes/nest-mfg,"A structure of nesting manufacturing steps, like a family of nesting dolls","commit_search: ""Cursor suggestion"""
genius52/cpp_knowledge,https://github.com/genius52/cpp_knowledge,,"commit_search: ""Cursor suggestion"""
chrishoward-au/move-by-tag,https://github.com/chrishoward-au/move-by-tag,,"commit_search: ""Cursor suggestion"""
chrishoward-au/file-frontmatter,https://github.com/chrishoward-au/file-frontmatter,,"commit_search: ""Cursor suggestion"""
uvansh/jimbro,https://github.com/uvansh/jimbro,,"commit_search: ""Cursor suggestion"""
epuerta9/cloud-pilot,https://github.com/epuerta9/cloud-pilot,vibe and fly with your infrastructure,"commit_search: ""Cursor suggestion"""
BashirHilaly/liked-vids-scraper,https://github.com/BashirHilaly/liked-vids-scraper,,"commit_search: ""Cursor suggestion"""
Tylerlhess/EVR_DNS,https://github.com/Tylerlhess/EVR_DNS,DNS resolver that gets records from the Evrmore blockchain,"commit_search: ""Cursor suggestion"""
benjamibono/portfolio,https://github.com/benjamibono/portfolio,My Portfolio,"commit_search: ""Cursor suggestion"""
UgurDolu/db-client-api,https://github.com/UgurDolu/db-client-api,,"commit_search: ""Cursor suggestion"""
MBMB54/supermarket_scraping,https://github.com/MBMB54/supermarket_scraping,Scrapes price data from UK supermarkets,"commit_search: ""Cursor suggestion"""
rubys/showcase,https://github.com/rubys/showcase,Ballroom Dance Showcase Scheduler,"commit_search: ""Cursor suggestion"""
Won-Team-Group/kakao_export,https://github.com/Won-Team-Group/kakao_export,,"commit_search: ""Cursor suggestion"""
tellmewhy-sir/portfolio,https://github.com/tellmewhy-sir/portfolio,,"commit_search: ""Cursor suggestion"""
dipth/pludr,https://github.com/dipth/pludr,,"commit_search: ""Cursor suggestion"""
lschuyler/canadianize,https://github.com/lschuyler/canadianize,A WordPress plugin that generates posts with random Canadian content. Great for test sites.,"commit_search: ""Cursor suggestion"""
With-Fam/indexer,https://github.com/With-Fam/indexer,,"commit_search: ""Cursor suggestion"""
brunobrr/bdc,https://github.com/brunobrr/bdc,Check out the vignettes with detailed documentation on each module of the bdc package,"commit_search: ""Cursor suggestion"""
