name,url,description,found_by
Provenance-Emu/Provenance,https://github.com/Provenance-Emu/Provenance,"iOS & tvOS multi-emulator frontend, supporting various Atari, Bandai, NEC, Nintendo, Sega, SNK and Sony console systems… Get Started:  https://wiki.provenance-emu.com  | ",cursor_config: filename:.cursorignore
getumbrel/umbrel,https://github.com/getumbrel/umbrel,"A beautiful home server OS for self-hosting with an app store. Buy a pre-built Umbrel Home with umbrelOS, or install on a Raspberry Pi or any x86 system.",cursor_config: filename:.cursorignore
supabase-community/postgres-language-server,https://github.com/supabase-community/postgres-language-server,A Language Server for Postgres,cursor_config: filename:.cursorignore
MultiQC/MultiQC,https://github.com/MultiQC/MultiQC,Aggregate results from bioinformatics analyses across many samples into a single report.,cursor_config: filename:.cursorignore
microsoft/genaiscript,https://github.com/microsoft/genaiscript,Automatable GenAI Scripting,cursor_config: filename:.cursorignore
nndeploy/nndeploy,https://github.com/nndeploy/nndeploy,"nndeploy is an end-to-end model inference and deployment framework. It aims to provide users with a powerful, easy-to-use, high-performance, and mainstream framework compatible model inference and deployment experience.一款端到端的模型推理和部署框架。它旨在为用户提供功能强大、简单易用、高性能且兼容主流框架的模型推理和部署体验。",cursor_config: filename:.cursorignore
databricks-demos/dbdemos,https://github.com/databricks-demos/dbdemos,Demos to implement your Databricks Lakehouse,cursor_config: filename:.cursorignore
exuanbo/assembler-simulator,https://github.com/exuanbo/assembler-simulator,"The Assembler Simulator is an 8-bit CPU simulation tool that utilizes the ""Samphire"" sms32v50 Microprocessor Simulator instruction set.",cursor_config: filename:.cursorignore
nodetool-ai/nodetool,https://github.com/nodetool-ai/nodetool,NodeTool - AI Prototyping Platform,cursor_config: filename:.cursorignore
Dankovk/browser-use-node,https://github.com/Dankovk/browser-use-node,a typescript rewrite of the great python lib,cursor_config: filename:.cursorignore
brentp/vcfexpress,https://github.com/brentp/vcfexpress,expressions on VCFs,cursor_config: filename:.cursorignore
juanrgon/slack-emoji-uploader,https://github.com/juanrgon/slack-emoji-uploader,Chrome Extension for Slack Emojis :sunglasses:,cursor_config: filename:.cursorignore
shaoruu/hi.shaoruu.io,https://github.com/shaoruu/hi.shaoruu.io,🌰 First ever multiplayer personal portfolio (Come build something!),cursor_config: filename:.cursorignore
Kazuki-tam/gas-gpt-starter,https://github.com/Kazuki-tam/gas-gpt-starter,gas-gpt-starter is a starter kit to use GPT models in Google Apps Script.,cursor_config: filename:.cursorignore
AIXCap/rss-website,https://github.com/AIXCap/rss-website,RssTabs Official Website,cursor_config: filename:.cursorignore
respawn-app/FlowMVI,https://github.com/respawn-app/FlowMVI,"Architecture Framework for Kotlin. Reuse every line of code. Handle all errors automatically. No boilerplate. Build features in minutes. Analytics, metrics, debugging in 3 lines of code. Make all code thread-safe. 50+ features. ",cursor_config: filename:.cursorignore
