name,url,description,found_by
Provenance-Emu/Provenance,https://github.com/Provenance-Emu/Provenance,"iOS & tvOS multi-emulator frontend, supporting various Atari, Bandai, NEC, Nintendo, Sega, SNK and Sony console systems… Get Started:  https://wiki.provenance-emu.com  | ","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
supabase-community/postgres-language-server,https://github.com/supabase-community/postgres-language-server,A Language Server for Postgres,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
julep-ai/julep,https://github.com/julep-ai/julep,Serverless AI Workflows for Data & ML Teams,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
nndeploy/nndeploy,https://github.com/nndeploy/nndeploy,"nndeploy is an end-to-end model inference and deployment framework. It aims to provide users with a powerful, easy-to-use, high-performance, and mainstream framework compatible model inference and deployment experience.一款端到端的模型推理和部署框架。它旨在为用户提供功能强大、简单易用、高性能且兼容主流框架的模型推理和部署体验。","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
databricks-demos/dbdemos,https://github.com/databricks-demos/dbdemos,Demos to implement your Databricks Lakehouse,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
exuanbo/assembler-simulator,https://github.com/exuanbo/assembler-simulator,"The Assembler Simulator is an 8-bit CPU simulation tool that utilizes the ""Samphire"" sms32v50 Microprocessor Simulator instruction set.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
metriport/metriport,https://github.com/metriport/metriport,Metriport is an open-source universal API for healthcare data.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
s-smits/agentic-cursorrules,https://github.com/s-smits/agentic-cursorrules,A practical approach to managing multiple AI agents in Cursor through strict file-tree partitioning and domain boundaries.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
atnikos/motionfix,https://github.com/atnikos/motionfix,MotionFix: Text-Driven 3D Human Motion Editing [SIGGRAPH ASIA 2024],"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
BodhiSearch/BodhiApp,https://github.com/BodhiSearch/BodhiApp,Run Open Source/Open Weight LLMs locally with OpenAI compatible APIs,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
brentp/vcfexpress,https://github.com/brentp/vcfexpress,expressions on VCFs,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
daytimedrinkingclub/shipstation,https://github.com/daytimedrinkingclub/shipstation,Generate and manage your personal website and portfolio with ease,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
friuns2/appforge,https://github.com/friuns2/appforge,"App Forge is an AI-powered application generator that creates apps, websites, and online games using the Gemini API","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
jparkerweb/rich-foot,https://github.com/jparkerweb/rich-foot,🦶 Obsidian plugin that adds backlink/outlink tags and created/modified dates to the footer of your notes,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
kecbigmt/docgent,https://github.com/kecbigmt/docgent,社内のチャットをもとにドキュメントを作成・更新して、同じことを2回答える必要をなくすためのAIエージェント,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
WebClub-NITK/skyscale,https://github.com/WebClub-NITK/skyscale,Experimental Implementation of AWS Lambda Serverless Infrastructure,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
LIT-Protocol/developer-guides-code,https://github.com/LIT-Protocol/developer-guides-code,A repository of code examples and reference implementations used for Lit Developer Guides,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
go-go-golems/go-go-mcp,https://github.com/go-go-golems/go-go-mcp,Anthropic MCP go implementation,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
0xfrankz/Kaas,https://github.com/0xfrankz/Kaas,"Cross-platform desktop LLM client for OpenAI ChatGPT, DeepSeek R1, Anthropic Claude and more, with a focus on privacy and security.","code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
jldec/presskit,https://github.com/jldec/presskit,Fast and simple collaborative Web publishing.,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
Software-Lifecycle-Consultants/SusDevOS-MVP-FE,https://github.com/Software-Lifecycle-Consultants/SusDevOS-MVP-FE,,"code_search: filename:.cursorignore (indexed desc), code_search: filename:.cursorignore (indexed asc)"
