name,url,description,found_by
SecOpsNews/news,https://github.com/SecOpsNews/news,,"issue_search: ""AI coding with Firebase"" (2025-01-01 to 2025-06-30)"
ruohong2018/ruohong2018.github.io,https://github.com/ruohong2018/ruohong2018.github.io,,"issue_search: ""AI coding with Firebase"" (2025-01-01 to 2025-06-30)"
MM0x00/RSS-Push,https://github.com/MM0x00/RSS-Push,,"issue_search: ""AI coding with Firebase"" (2025-01-01 to 2025-06-30)"
chainreactors/picker,https://github.com/chainreactors/picker,,"issue_search: ""AI coding with Firebase"" (2025-01-01 to 2025-06-30)"
BruceFeIix/picker,https://github.com/BruceFeIix/picker,,"issue_search: ""AI coding with Firebase"" (2025-01-01 to 2025-06-30)"
aleyaktas/NewsApp,https://github.com/aleyaktas/NewsApp,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
firebase/firebase-admin-go,https://github.com/firebase/firebase-admin-go,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
amrit03b/TravelTales,https://github.com/amrit03b/TravelTales,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
francesco-buscicchio/EcoGram,https://github.com/francesco-buscicchio/EcoGram,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
CodesFirst/new_version_plus,https://github.com/CodesFirst/new_version_plus,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
HrushabhPatade/PTS_Website,https://github.com/HrushabhPatade/PTS_Website,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
wordplaydev/wordplay,https://github.com/wordplaydev/wordplay,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
Real-Dev-Squad/website-backend,https://github.com/Real-Dev-Squad/website-backend,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
simonbengtsson/airdash,https://github.com/simonbengtsson/airdash,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
csci312a-f23/project-mansfield,https://github.com/csci312a-f23/project-mansfield,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
talkjs/talkjs-flutter,https://github.com/talkjs/talkjs-flutter,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
facebook/react-native,https://github.com/facebook/react-native,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
jeanaica/cms-firestore-gql,https://github.com/jeanaica/cms-firestore-gql,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
Goldziher/basemind.ai,https://github.com/Goldziher/basemind.ai,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
manga-raiku/raiku-app,https://github.com/manga-raiku/raiku-app,,"issue_search: ""Firebase suggestion"" (2023-07-01 to 2023-12-31)"
