name,url,description,found_by
latin-ocr/codexdunensissiv00kervuoft,https://github.com/latin-ocr/codexdunensissiv00kervuoft,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
EMUFest/EMUBooklets,https://github.com/EMUFest/EMUBooklets,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
skvrnami/ocr-hospody,https://github.com/skvrnami/ocr-hospody,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
OpenGreekAndLatin/patrologia_latina-dev,https://github.com/OpenGreekAndLatin/patrologia_latina-dev,Machine-corrected versions of selections of the Patrologia Latina.,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
DigitalLatin/pgls-data,https://github.com/DigitalLatin/pgls-data,A repository for texts to be used in the DLL's search application.,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
latin-ocr/operaomniaaccura39auguuoft,https://github.com/latin-ocr/operaomniaaccura39auguuoft,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
latin-ocr/monumentagerman00unkngoog,https://github.com/latin-ocr/monumentagerman00unkngoog,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
latin-ocr/mediiaevibiblio03horogoog,https://github.com/latin-ocr/mediiaevibiblio03horogoog,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
latin-ocr/patrologiaecurs00berngoog,https://github.com/latin-ocr/patrologiaecurs00berngoog,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
latin-ocr/mediiaevibiblio09bottgoog,https://github.com/latin-ocr/mediiaevibiblio09bottgoog,,"code_search: ""Trae suggestion"" (indexed desc), code_search: ""Trae suggestion"" (indexed asc)"
Houdou/epub2pdf,https://github.com/Houdou/epub2pdf,ePub to PDF,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
FatDoge/receipt-generator,https://github.com/FatDoge/receipt-generator,,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
ls1intum/Artemis,https://github.com/ls1intum/Artemis,Artemis - Interactive Learning with Automated Feedback,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
ehlesp/smallab-k8s-pve-guide,https://github.com/ehlesp/smallab-k8s-pve-guide,A guide series explaining how to setup a personal small homelab running a Kubernetes cluster with VMs on a Proxmox VE standalone server node.,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
Metadrop/drupal-boilerplate,https://github.com/Metadrop/drupal-boilerplate,Drupal projects up and running with Docker and many other tools in minutes,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
vikiboss/viki-home,https://github.com/vikiboss/viki-home,"Sharable personal homepage, Solid.js + UnoCSS (SPA), 99% coded by Trae AI Editor.","code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
natsukagami/nix-home,https://github.com/natsukagami/nix-home,My personal home-manager scripts. Mirror of https://git.dtth.ch/nki/nix-home,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
esnet/esnet-smartnic-fw,https://github.com/esnet/esnet-smartnic-fw,ESnet SmartNIC firmware design repository.,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
bhicks8/traefik-hostgen,https://github.com/bhicks8/traefik-hostgen,Simple python script to extract a hosts file from traefik frontends using Host: rules.,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
skillrepos/prom-start-v2,https://github.com/skillrepos/prom-start-v2,,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
homelabos/homelabos,https://github.com/homelabos/homelabos,Unofficial GitHub mirror of HomelabOS (Don't issue PRs to this repo).,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
AndrewSav/test-vault,https://github.com/AndrewSav/test-vault,,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
AliKhadivi/mailserver,https://github.com/AliKhadivi/mailserver,Simple and full-featured mail server using Docker ,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
traeki/mismatch_crispri,https://github.com/traeki/mismatch_crispri,"Code for designing libraries of mismatch-modulated guide-RNAs for CRISPRi, and analyzing pooled-growth sample pairs generated using those libraries. Intended for use with: traeki/sgrna_design","code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
amidaware/trmm-docs,https://github.com/amidaware/trmm-docs,Documentation for the Tactical RMM software,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
EnigmaCurry/blog.rymcg.tech,https://github.com/EnigmaCurry/blog.rymcg.tech,,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
xvzf/lanarama-infra,https://github.com/xvzf/lanarama-infra,Lanarama 2019 Summer,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
buildplan/docker,https://github.com/buildplan/docker,,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
zekker6/hosts-generator,https://github.com/zekker6/hosts-generator,Tool which is able to generate hosts file content for services discovered from different sources,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
kanopy-platform/traefik,https://github.com/kanopy-platform/traefik,Kanopy Platform Traefik 1.7 fork,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
FuzzyGrim/blog,https://github.com/FuzzyGrim/blog,My personal website,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
sixeyed/presentations,https://github.com/sixeyed/presentations,Source material for presentations,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
jayroh/joeloliveira.com,https://github.com/jayroh/joeloliveira.com,"YANB - ""yet another neglected blog""","code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
Kosai106/dbushell-2k20,https://github.com/Kosai106/dbushell-2k20,David Bushell Website Design and Front-end Development,"code_search: ""generated by Trae"" (indexed desc), code_search: ""generated by Trae"" (indexed asc)"
