name,url,description,found_by
tosin2013/prompt-manager,https://github.com/tosin2013/prompt-manager,A prompt engineering and development workflow management system with comprehensive debugging and memory tracking capabilities.,"code_search: ""Windsurf suggestion"" (indexed desc), code_search: ""Windsurf suggestion"" (indexed asc)"
dalong0514/dalong.ITstudy,https://github.com/dalong0514/dalong.ITstudy,computer study,"code_search: ""Windsurf suggestion"" (indexed desc), code_search: ""Windsurf suggestion"" (indexed asc)"
endel/github-weekly-video-remotion,https://github.com/endel/github-weekly-video-remotion,,"code_search: ""generated by Windsurf"" (indexed desc), code_search: ""generated by Windsurf"" (indexed asc)"
xTayEx/BingWallpaperDownloader,https://github.com/xTayEx/BingWallpaperDownloader,,"code_search: ""generated by Windsurf"" (indexed desc), code_search: ""generated by Windsurf"" (indexed asc)"
dr-rompecabezas/free-genai-bootcamp-2025,https://github.com/dr-rompecabezas/free-genai-bootcamp-2025,ExamPro.co GenAI Bootcamp 2025,"code_search: ""generated by Windsurf"" (indexed desc), code_search: ""generated by Windsurf"" (indexed asc)"
shade9473/iHelper-Library,https://github.com/shade9473/iHelper-Library,The Comprehensive_Resource_Library Lives On!,"code_search: ""powered by Windsurf"" (indexed desc), code_search: ""powered by Windsurf"" (indexed asc)"
datafusion-contrib/datafusion-sprox,https://github.com/datafusion-contrib/datafusion-sprox,A DataFusion-powered Serverless S3 Proxy. ,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
yuru-sha/mcp-server-dify,https://github.com/yuru-sha/mcp-server-dify,Sample MCP Server for Dify AI,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
dylanturn/DjangoFlow,https://github.com/dylanturn/DjangoFlow,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
chester-lang/chester,https://github.com/chester-lang/chester,Trying to make a practical possibly unsound dependently typed language with algebraic effects,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
antenore/ARIA,https://github.com/antenore/ARIA,Artificial Intelligence Regulation Interface & Agreements,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
BlazeMCworld/Open-Codeium-Engine,https://github.com/BlazeMCworld/Open-Codeium-Engine,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
2martens/2martens.de,https://github.com/2martens/2martens.de,Repo for my personal website,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
XiaoLou-Duan/health777_cn_java,https://github.com/XiaoLou-Duan/health777_cn_java,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
Joera/playground,https://github.com/Joera/playground,App for onboarding people at playground events,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
nikhilmaddirala/music-composition,https://github.com/nikhilmaddirala/music-composition,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
AlfredMadere/traffic-stop-analysis,https://github.com/AlfredMadere/traffic-stop-analysis,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
ravi20930/kots-party,https://github.com/ravi20930/kots-party,,"code_search: filename:.codeiumignore (indexed desc), code_search: filename:.codeiumignore (indexed asc)"
